club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
Bayern Munich,Mario Gómez,23.0,Centre-Forward,VfB Stuttgart,€30.00m,in,Summer,30.0,1 Bundesliga,2009,2009/2010,Germany
Bayern Munich,Arjen Robben,25.0,Right Winger,Real Madrid,€25.00m,in,Summer,25.0,1 Bundesliga,2009,2009/2010,Germany
Bayern Munich,Anatoliy Tymoshchuk,30.0,Defensive Midfield,Zenit St. Petersburg,€11.00m,in,Summer,11.0,1 Bundesliga,2009,2009/2010,Germany
Bayern Munich,Danijel Pranjic,27.0,Left-Back,SC Heerenveen,€7.70m,in,Summer,7.7,1 Bundesliga,2009,2009/2010,Germany
Bayern Munich,Edson Braafheid,26.0,Left-Back,Twente Enschede FC,€2.00m,in,Summer,2.0,1 Bundesliga,2009,2009/2010,Germany
Bayern Munich,Luiz Gustavo,23.0,Defensive Midfield,TSG 1899 Hoffenheim,€17.00m,in,Winter,17.0,1 Bundesliga,2010,2010/2011,Germany
Bayern Munich,Manuel Neuer,25.0,Goalkeeper,FC Schalke 04,€30.00m,in,Summer,30.0,1 Bundesliga,2011,2011/2012,Germany
Bayern Munich,Jérôme Boateng,22.0,Centre-Back,Manchester City,€13.50m,in,Summer,13.5,1 Bundesliga,2011,2011/2012,Germany
Bayern Munich,Rafinha,25.0,Right-Back,Genoa CFC,€5.50m,in,Summer,5.5,1 Bundesliga,2011,2011/2012,Germany
Bayern Munich,Nils Petersen,22.0,Centre-Forward,FC Energie Cottbus,€2.80m,in,Summer,2.8,1 Bundesliga,2011,2011/2012,Germany
Bayern Munich,Takashi Usami,19.0,Centre-Forward,Gamba Osaka,Loan fee:€300k,in,Summer,0.3,1 Bundesliga,2011,2011/2012,Germany
Bayern Munich,Javi Martínez,23.0,Defensive Midfield,Athletic Bilbao,€40.00m,in,Summer,40.0,1 Bundesliga,2012,2012/2013,Germany
Bayern Munich,Mario Mandzukic,26.0,Centre-Forward,VfL Wolfsburg,€13.00m,in,Summer,13.0,1 Bundesliga,2012,2012/2013,Germany
Bayern Munich,Xherdan Shaqiri,20.0,Right Winger,FC Basel 1893,€11.80m,in,Summer,11.8,1 Bundesliga,2012,2012/2013,Germany
Bayern Munich,Dante,28.0,Centre-Back,Borussia Mönchengladbach,€4.70m,in,Summer,4.7,1 Bundesliga,2012,2012/2013,Germany
Bayern Munich,Mitchell Weiser,18.0,Right-Back,1.FC Köln U19,€800k,in,Summer,0.8,1 Bundesliga,2012,2012/2013,Germany
Bayern Munich,Mario Götze,21.0,Attacking Midfield,Borussia Dortmund,€37.00m,in,Summer,37.0,1 Bundesliga,2013,2013/2014,Germany
Bayern Munich,Thiago,22.0,Central Midfield,FC Barcelona,€25.00m,in,Summer,25.0,1 Bundesliga,2013,2013/2014,Germany
Bayern Munich,Medhi Benatia,27.0,Centre-Back,AS Roma,€28.00m,in,Summer,28.0,1 Bundesliga,2014,2014/2015,Germany
Bayern Munich,Juan Bernat,21.0,Left-Back,Valencia CF,€10.00m,in,Summer,10.0,1 Bundesliga,2014,2014/2015,Germany
Bayern Munich,Xabi Alonso,32.0,Defensive Midfield,Real Madrid,€9.00m,in,Summer,9.0,1 Bundesliga,2014,2014/2015,Germany
Bayern Munich,Pepe Reina,31.0,Goalkeeper,Liverpool FC,€3.00m,in,Summer,3.0,1 Bundesliga,2014,2014/2015,Germany
