club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
Borussia Dortmund,Neven Subotic,19.0,Centre-Back,1.FSV Mainz 05,€4.50m,in,Summer,4.5,1 Bundesliga,2008,2008/2009,Germany
Borussia Dortmund,Mohamed Zidan,26.0,Second Striker,Hamburger SV,€2.80m,in,Summer,2.8,1 Bundesliga,2008,2008/2009,Germany
Borussia Dortmund,Patrick Owomoyela,28.0,Right-Back,SV Werder Bremen,€2.50m,in,Summer,2.5,1 Bundesliga,2008,2008/2009,Germany
Borussia Dortmund,Felipe Santana,22.0,Defence,Figueirense Futebol Clube,€2.10m,in,Summer,2.1,1 Bundesliga,2008,2008/2009,Germany
Borussia Dortmund,Tamás Hajnal,27.0,Attacking Midfield,Karlsruher SC,€1.25m,in,Summer,1.25,1 Bundesliga,2008,2008/2009,Germany
Borussia Dortmund,Young-pyo Lee,31.0,Left-Back,Tottenham Hotspur,€500k,in,Summer,0.5,1 Bundesliga,2008,2008/2009,Germany
Borussia Dortmund,Kevin-Prince Boateng,21.0,Attacking Midfield,Tottenham Hotspur,Loan fee:€100k,in,Winter,0.1,1 Bundesliga,2008,2008/2009,Germany
Borussia Dortmund,Mats Hummels,20.0,Centre-Back,Bayern Munich,€4.20m,in,Summer,4.2,1 Bundesliga,2009,2009/2010,Germany
Borussia Dortmund,Lucas Barrios,24.0,Centre-Forward,CSD Colo Colo,€4.20m,in,Summer,4.2,1 Bundesliga,2009,2009/2010,Germany
Borussia Dortmund,Sven Bender,20.0,Defensive Midfield,TSV 1860 Munich,€1.50m,in,Summer,1.5,1 Bundesliga,2009,2009/2010,Germany
Borussia Dortmund,Dimitar Rangelov,26.0,Second Striker,FC Energie Cottbus,€1.00m,in,Summer,1.0,1 Bundesliga,2009,2009/2010,Germany
Borussia Dortmund,Robert Lewandowski,21.0,Centre-Forward,Lech Poznan,€4.75m,in,Summer,4.75,1 Bundesliga,2010,2010/2011,Germany
Borussia Dortmund,Mitchell Langerak,21.0,Goalkeeper,Melbourne Victory,€500k,in,Summer,0.5,1 Bundesliga,2010,2010/2011,Germany
Borussia Dortmund,Ilkay Gündogan,20.0,Central Midfield,1.FC Nuremberg,€5.50m,in,Summer,5.5,1 Bundesliga,2011,2011/2012,Germany
Borussia Dortmund,Ivan Perisic,22.0,Left Midfield,Club Brugge KV,€4.00m,in,Summer,4.0,1 Bundesliga,2011,2011/2012,Germany
Borussia Dortmund,Chris Löwe,22.0,Left-Back,Chemnitzer FC,€225k,in,Summer,0.225,1 Bundesliga,2011,2011/2012,Germany
Borussia Dortmund,Marco Reus,23.0,Attacking Midfield,Borussia Mönchengladbach,€17.10m,in,Summer,17.1,1 Bundesliga,2012,2012/2013,Germany
Borussia Dortmund,Julian Schieber,23.0,Centre-Forward,VfB Stuttgart,€5.50m,in,Summer,5.5,1 Bundesliga,2012,2012/2013,Germany
Borussia Dortmund,Leonardo Bittencourt,18.0,Attacking Midfield,FC Energie Cottbus,€2.70m,in,Summer,2.7,1 Bundesliga,2012,2012/2013,Germany
