club_name,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFC Bournemouth,,,,,,,,,,,,,,,,,,,,,,4.055,8.52,55.76,64.38,34.3,111.8,89.535,93.55,39.54,83.1
Arsenal,7.85,3.56,11.379999999999999,20.55,14.254999999999999,30.445,16.7,66.95,105.825,44.685,21.05,28.475,16.38,71.0,27.925,87.675,65.95,59.7,31.1,143.77,121.85,61.4,146.78,29.0,123.35,314.85,89.25,214.45,105.15,198.8,216.16
Aston Villa,4.824,5.401,16.637,15.971,12.487,13.85,67.78,14.92,41.934999999999995,42.975,15.98,8.67,13.565,22.94,26.525,42.8,63.42,69.0,65.8,64.08500000000001,31.03,27.94,14.765,131.25,131.3,20.63,35.25,162.5,104.12,256.8,154.14
Birmingham City,,,,,,,,,,,16.835,19.05,23.92,16.05,52.905,37.775,14.375,20.45,25.775,35.35,10.42,4.949999999999999,1.26,8.14,10.285,22.35,2.5,34.08,36.04,0.35,0.6
Bolton Wanderers,,,,16.569,,16.123,,,,3.2,5.288,0.825,1.755,6.199999999999999,20.85,44.316,34.575,14.0,6.795,31.93,3.488,2.13,0.643,1.77,,6.885,0.225,,,,
Brentford,,,,,,,,,,,,,,,,,,,,,,,9.4,35.9,19.549999999999997,26.490000000000002,41.5,75.57,69.3,37.7,55.1
Brighton & Hove Albion,,,,,,,,,,,,,0.75,4.015000000000001,,,,,,7.896999999999999,3.69,7.195,17.02,13.47,8.75,66.9,100.74,70.24,49.1,153.5,193.63
Burnley,,,,,,,,,,,,,5.935,4.325,1.81,5.449999999999999,8.530000000000001,13.63,13.525,8.775,10.950000000000001,5.195,12.620000000000001,46.405,46.8,85.74,41.0,37.4,3.4,89.9,121.66
Cardiff City,,,,,,,,,,,,,4.5,6.7,6.357,11.45,11.105,13.925,0.585,4.765,14.61,49.555,50.523,5.9,11.28,15.32,40.2,37.815,6.565,5.2,0.655
Chelsea,8.905,8.687,7.88,3.7399999999999998,20.155,20.35,25.15,34.235,90.114,64.02,2.1,170.95,165.7,126.1,141.58,102.65,75.05,33.8,138.0,128.01,135.15,208.28,280.51,183.99,241.7,455.1,292.05,202.266,304.35,242.6,679.32
