Competition_Name,Gender,Country,Season_End_Year,Squad,Team_or_Opponent,Rk,MP,W,D,L,GF,GA,GD,Pts_1995,Pts.MP,Attendance,Top.Team.Scorer,Goalkeeper,Notes
Premier League,M,ENG,1994,Arsenal,team,4,42,18,17,7,53,28,25,71,1.69,30492.0,Ian Wright - 23,David Seaman,→ UEFA Cup Winners' Cup
Premier League,M,ENG,1994,Aston Villa,team,10,42,15,12,15,46,50,-4,57,1.36,28957.0,Dean Saunders - 10,Mark Bosnich,→ UEFA Cup via cup win 1
Premier League,M,ENG,1994,Blackburn,team,2,42,25,9,8,63,36,27,84,2.0,17303.0,Alan Shearer - 31,Tim Flowers,→ UEFA Cup via league finish
Premier League,M,ENG,1994,Chelsea,team,14,42,13,12,17,49,53,-4,51,1.21,19211.0,Mark Stein - 13,Dmitri Kharine,→ UEFA Cup Winners' Cup via cup loss 2
Premier League,M,ENG,1994,Coventry City,team,11,42,14,14,14,43,45,-2,56,1.33,13564.0,Peter Ndlovu - 11,Steve Ogrizovic,
Premier League,M,ENG,1994,Everton,team,17,42,12,8,22,42,63,-21,44,1.05,22900.0,Tony Cottee - 16,Neville Southall,
Premier League,M,ENG,1994,Ipswich Town,team,19,42,9,16,17,35,58,-23,43,1.02,16411.0,Ian Marshall - 10,Craig Forrest,
Premier League,M,ENG,1994,Leeds United,team,5,42,18,16,8,65,39,26,70,1.67,36368.0,Rod Wallace - 17,Mark Beeney,
Premier League,M,ENG,1994,Liverpool,team,8,42,17,9,16,59,55,4,60,1.43,38503.0,Ian Rush - 14,Bruce Grobbelaar,
Premier League,M,ENG,1994,Manchester City,team,16,42,9,18,15,38,49,-11,45,1.07,26709.0,Mike Sheron - 6,Tony Coton,
Premier League,M,ENG,1994,Manchester Utd,team,1,42,27,11,4,80,38,42,92,2.19,44246.0,Eric Cantona - 18,Peter Schmeichel,→ Champions League via league finish
Premier League,M,ENG,1994,Newcastle Utd,team,3,42,23,8,11,82,41,41,77,1.83,33792.0,Andy Cole - 34,Pavel Srníček,→ UEFA Cup via league finish
Premier League,M,ENG,1994,Norwich City,team,12,42,12,17,13,65,61,4,53,1.26,18179.0,Chris Sutton - 25,Bryan Gunn,
Premier League,M,ENG,1994,Oldham Athletic,team,21,42,9,13,20,42,68,-26,40,0.95,12589.0,Graeme Sharp - 9,Jon Hallworth,Relegated
Premier League,M,ENG,1994,QPR,team,9,42,16,12,14,62,61,1,60,1.43,14133.0,Les Ferdinand - 16,Jan Stejskal,
Premier League,M,ENG,1994,Sheffield Utd,team,20,42,8,18,16,42,60,-18,42,1.0,19562.0,Jostein Flo - 9,Alan Kelly Jr.,Relegated
Premier League,M,ENG,1994,Sheffield Weds,team,7,42,16,16,10,76,54,22,64,1.52,27187.0,Mark Bright - 19,Kevin Pressman,
Premier League,M,ENG,1994,Southampton,team,18,42,12,7,23,49,66,-17,43,1.02,14764.0,Matt Le Tissier - 25,Dave Beasant,
Premier League,M,ENG,1994,Swindon Town,team,22,42,5,15,22,47,100,-53,30,0.71,15011.0,Jan Åge Fjørtoft - 12,Fraser Digby,Relegated
Premier League,M,ENG,1994,Tottenham,team,15,42,11,12,19,54,59,-5,45,1.07,27255.0,Teddy Sheringham - 14,Erik Thorstvedt,
Premier League,M,ENG,1994,West Ham,team,13,42,13,13,16,47,58,-11,52,1.24,20595.0,Trevor Morley - 13,Luděk Mikloško,
Premier League,M,ENG,1994,Wimbledon,team,6,42,18,11,13,56,53,3,65,1.55,10462.0,Dean Holdsworth - 17,Hans Segers,
