Squad,Pts_2023,Pts_2022,Pts_2021,Pts_2020,Pts_2019,Pts_2018,Pts_2017,Pts_2016,Pts_2015,Pts_2014,Pts_2013,Pts_2012,Pts_2011,Pts_2010,Pts_2009,Pts_2008,Pts_2007,Pts_2006,Pts_2005,Pts_2004,Pts_2003,Pts_2002,Pts_2001,Pts_2000,Pts_1999,Pts_1998,Pts_1997,Pts_1996,Pts_1995,Total_Pts
Arsenal,81.0,69.0,61.0,56.0,70.0,63.0,75.0,71.0,75.0,79.0,73.0,70.0,68.0,75.0,72.0,83.0,68.0,67.0,83.0,90.0,78.0,87.0,70.0,73.0,78.0,78.0,68.0,63.0,51.0,6285.0
Aston Villa,54.0,45.0,55.0,35.0,,,,17.0,38.0,38.0,41.0,38.0,48.0,64.0,62.0,60.0,50.0,42.0,47.0,56.0,45.0,50.0,54.0,58.0,55.0,57.0,61.0,63.0,48.0,3843.0
Bournemouth,39.0,,,34.0,45.0,44.0,46.0,42.0,,,,,,,,,,,,,,,,,,,,,,750.0
Brentford,50.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0
Brighton,55.0,51.0,41.0,41.0,36.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,792.0
Chelsea,42.0,74.0,67.0,66.0,72.0,70.0,93.0,50.0,87.0,82.0,75.0,64.0,71.0,86.0,83.0,85.0,83.0,91.0,95.0,79.0,67.0,64.0,61.0,65.0,75.0,63.0,59.0,50.0,54.0,6219.0
Crystal Palace,40.0,48.0,44.0,43.0,49.0,44.0,41.0,42.0,48.0,45.0,,,,,,,,,33.0,,,,,,,33.0,,,45.0,1665.0
Everton,29.0,39.0,59.0,49.0,54.0,49.0,61.0,47.0,47.0,72.0,63.0,56.0,54.0,61.0,63.0,65.0,58.0,50.0,61.0,39.0,59.0,43.0,42.0,50.0,43.0,40.0,42.0,61.0,50.0,4518.0
Fulham,45.0,,28.0,,26.0,,,,,32.0,43.0,52.0,49.0,46.0,53.0,36.0,39.0,48.0,44.0,52.0,48.0,44.0,,,,,,,,2055.0
Leeds United,30.0,38.0,59.0,,,,,,,,,,,,,,,,,33.0,47.0,66.0,68.0,69.0,67.0,59.0,46.0,43.0,73.0,2094.0
Leicester City,30.0,52.0,66.0,62.0,52.0,47.0,44.0,81.0,41.0,,,,,,,,,,,33.0,,28.0,48.0,55.0,49.0,53.0,47.0,,29.0,2451.0
Liverpool,62.0,92.0,69.0,99.0,97.0,75.0,76.0,60.0,62.0,84.0,61.0,52.0,58.0,63.0,86.0,76.0,68.0,82.0,58.0,60.0,64.0,80.0,69.0,67.0,54.0,65.0,68.0,71.0,74.0,6156.0
Manchester City,82.0,93.0,86.0,81.0,98.0,100.0,78.0,66.0,79.0,86.0,78.0,89.0,71.0,67.0,50.0,55.0,42.0,43.0,52.0,41.0,51.0,,34.0,,,,,38.0,49.0,4827.0
Manchester United,63.0,58.0,74.0,66.0,66.0,81.0,69.0,66.0,70.0,64.0,89.0,89.0,80.0,85.0,90.0,87.0,89.0,83.0,77.0,75.0,83.0,77.0,80.0,91.0,79.0,77.0,75.0,82.0,88.0,6759.0
Newcastle United,65.0,49.0,45.0,44.0,45.0,44.0,,37.0,39.0,49.0,41.0,65.0,46.0,,34.0,43.0,43.0,58.0,44.0,56.0,69.0,71.0,51.0,52.0,46.0,44.0,68.0,78.0,72.0,4194.0
Nott'ham Forest,30.0,,,,,,,,,,,,,,,,,,,,,,,,30.0,,34.0,58.0,77.0,687.0
Southampton,24.0,40.0,43.0,52.0,39.0,36.0,46.0,63.0,60.0,56.0,41.0,,,,,,,,32.0,47.0,52.0,45.0,52.0,44.0,41.0,48.0,41.0,38.0,54.0,2982.0
Tottenham,57.0,71.0,62.0,59.0,71.0,77.0,86.0,70.0,64.0,69.0,72.0,69.0,62.0,70.0,51.0,46.0,60.0,65.0,52.0,45.0,50.0,50.0,49.0,53.0,47.0,44.0,46.0,61.0,62.0,5220.0
West Ham,37.0,56.0,65.0,39.0,52.0,42.0,45.0,62.0,47.0,40.0,46.0,,33.0,35.0,51.0,49.0,41.0,55.0,,,42.0,53.0,42.0,55.0,57.0,56.0,42.0,51.0,50.0,3729.0
Wolves,40.0,51.0,45.0,59.0,57.0,,,,,,,25.0,40.0,38.0,,,,,,33.0,,,,,,,,,,1164.0
Burnley,,35.0,39.0,54.0,40.0,54.0,40.0,,33.0,,,,,30.0,,,,,,,,,,,,,,,,975.0
Norwich City,,22.0,,21.0,,,,34.0,,33.0,44.0,47.0,,,,,,,33.0,,,,,,,,,,43.0,831.0
Watford,,23.0,,34.0,50.0,41.0,40.0,45.0,,,,,,,,,28.0,,,,,,,24.0,,,,,,855.0
Sheffield United,,,23.0,54.0,,,,,,,,,,,,,38.0,,,,,,,,,,,,,345.0
West Brom,,,26.0,,,31.0,45.0,43.0,44.0,36.0,49.0,47.0,47.0,,32.0,,,30.0,34.0,,26.0,,,,,,,,,1470.0
Cardiff City,,,,,34.0,,,,,30.0,,,,,,,,,,,,,,,,,,,,192.0
Huddersfield,,,,,16.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,159.0
Stoke City,,,,,,33.0,44.0,51.0,54.0,50.0,42.0,45.0,46.0,47.0,45.0,,,,,,,,,,,,,,,1371.0
Swansea City,,,,,,33.0,41.0,47.0,56.0,42.0,46.0,47.0,,,,,,,,,,,,,,,,,,936.0
Hull City,,,,,,,34.0,,35.0,37.0,,,,30.0,35.0,,,,,,,,,,,,,,,513.0
Middlesbrough,,,,,,,28.0,,,,,,,,32.0,42.0,46.0,45.0,55.0,48.0,49.0,45.0,42.0,52.0,51.0,,39.0,43.0,,1851.0
Sunderland,,,,,,,24.0,39.0,38.0,38.0,39.0,45.0,47.0,44.0,36.0,39.0,,15.0,,,19.0,40.0,57.0,58.0,,,40.0,,,1854.0
QPR,,,,,,,,,30.0,,25.0,37.0,,,,,,,,,,,,,,,,33.0,60.0,555.0
Reading,,,,,,,,,,,28.0,,,,,36.0,55.0,,,,,,,,,,,,,357.0
Wigan Athletic,,,,,,,,,,,36.0,43.0,42.0,36.0,45.0,40.0,38.0,51.0,,,,,,,,,,,,993.0
Blackburn,,,,,,,,,,,,31.0,43.0,50.0,41.0,58.0,52.0,63.0,42.0,44.0,60.0,46.0,,,35.0,58.0,42.0,61.0,89.0,2445.0
Bolton,,,,,,,,,,,,36.0,46.0,39.0,41.0,37.0,56.0,56.0,58.0,53.0,44.0,40.0,,,,40.0,,29.0,,1725.0
Birmingham City,,,,,,,,,,,,,39.0,50.0,,35.0,,34.0,45.0,50.0,48.0,,,,,,,,,903.0
Blackpool,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,117.0
